Restaurant,Location,Cuisines,AverageCost,MinimumOrder,Rating,Votes,Reviews,DeliveryTime
ID4012,"DBlock, Sector 63, Noida","North Indian, Chinese",250,50,3.0,5,2,30
ID240,"DBlock, Sector 63, Noida","Biryani, North Indian",200,99,3.7,138,26,65
ID4751,"Sector 3, Marathalli","North Indian, Chinese, Fast Food",150,50,3.2,4,1,30
ID4944,"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Ice Cream",100,50,,,,45
ID7029,"DBlock, Sector 63, Noida","North Indian, Chinese",100,99,3.7,110,38,45
ID6769,Mumbai Central,"Fast Food, South Indian, Street Food",150,50,3.2,15,9,45
ID5547,"Dockyard Road, Mumbai CST Area",North Indian,150,50,3.3,44,19,45
ID1957,"Sector 1, Noida","North Indian, Chinese",200,50,3.8,18,18,30
ID425,"Gora Bazar, Rajbari, North Dumdum, Kolkata",North Indian,150,50,3.2,18,7,30
ID4965,"DBlock, Sector 63, Noida","Cafe, Mexican, Japanese, Italian, Chinese",400,50,4.0,189,132,30
ID5192,"FTI College, Law College Road, Pune","Bakery, Fast Food, Rolls, Beverages",200,50,3.1,279,74,45
ID6079,"DBlock, Sector 63, Noida","North Indian, Chinese",350,99,3.3,22,13,45
ID3069,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,100,50,4.0,581,111,30
ID1160,"Sector 1, Noida","Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",600,50,4.7,914,499,45
ID4494,Pune University,Street Food,100,50,3.4,23,7,30
ID2139,"Moulali, Kolkata","Fast Food, South Indian",100,50,3.6,105,53,30
ID332,Delhi UniversityGTB Nagar,"Pizza, Fast Food",200,50,3.5,305,29,45
ID1209,"Tiretti, Kolkata","Cafe, Desserts",300,50,3.6,54,34,30
ID5285,"Sandhurst Road, Mumbai CST Area","Mughlai, North Indian",200,50,4.0,1408,851,45
ID7544,Mumbai Central,"Desserts, Beverages",150,50,4.1,806,513,45
ID7299,"MG Road, Pune","Bakery, Desserts, Beverages",150,50,3.7,41,22,30
ID4154,"Hyderabad Public School, Begumpet",South Indian,100,50,3.7,100,27,45
ID3869,"Tiretti, Kolkata",North Indian,200,50,3.6,106,32,30
ID6868,Majestic,"North Indian, Street Food",200,50,3.8,37,25,30
ID1641,"DBlock, Sector 63, Noida","North Indian, Chinese",200,50,3.4,45,37,30
ID2809,"Mico Layout, Stage 2, BTM Layout,Bangalore",Chinese,200,50,NEW,,,30
ID5022,Delhi UniversityGTB Nagar,"Chinese, Fast Food",200,99,3.5,63,8,45
ID4866,Delhi UniversityGTB Nagar,Lucknowi,200,50,,,,30
ID6857,"FTI College, Law College Road, Pune","South Indian, North Indian",150,50,3.1,253,35,30
ID3429,"FTI College, Law College Road, Pune","Biryani, Chinese",150,50,3.2,4,4,30
ID1521,"Sandhurst Road, Mumbai CST Area","Tea, Fast Food",100,50,3.3,12,6,30
ID5090,"MG Road, Pune","Fast Food, Italian, Beverages",200,50,3.9,327,173,45
ID348,"Sector 1, Noida","North Indian, Beverages",250,50,3.4,49,36,30
ID1443,"Chandni Chowk, Kolkata",Fast Food,100,50,3.3,11,1,30
ID8281,"MG Road, Pune","Street Food, Fast Food, North Indian",150,50,2.9,8,5,45
ID4562,Delhi UniversityGTB Nagar,Chinese,250,50,3.8,19,15,30
ID156,"Mico Layout, Stage 2, BTM Layout,Bangalore","Rolls, Chinese",100,50,3.7,18,6,30
ID5570,"Delhi Administration Flats, Timarpur","South Indian, Chinese, Street Food",100,50,3.1,7,2,30
ID8368,"MG Road, Pune","North Indian, Mangalorean",350,50,3.5,16,8,45
ID294,"Sector 1, Noida","Bakery, Desserts, Fast Food",100,50,NEW,,,30
ID6967,"Yerawada, Pune, Maharashtra","Cafe, European, Continental, Sandwich, Salad, Healthy Food",600,50,4.6,391,174,30
ID2994,"Sector 3, Marathalli",Bengali,200,50,3.5,32,23,30
ID6369,"Sector 1, Noida","Bakery, Fast Food",200,50,3.3,39,11,30
ID7768,"Sector 14, Noida",Fast Food,150,99,3.9,116,19,30
ID134,"Dockyard Road, Mumbai CST Area",Desserts,100,50,3.4,22,9,45
ID8414,"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Beverages, American",200,50,3.9,51,29,45
ID2216,"Delhi High Court, India Gate","Chinese, Thai",150,50,3.2,9,1,30
ID2131,Mumbai Central,"Chinese, Fast Food, Mughlai",300,50,3.7,128,30,45
ID8057,"Rmz Centennial, I Gate, Whitefield","Cafe, Continental, Fast Food",300,50,4.1,119,59,30
ID3309,"DBlock, Sector 63, Noida","Chinese, Rolls",150,50,,,,30
ID7722,"Sector 1, Noida","North Indian, Fast Food",200,50,3.4,26,16,30
ID3117,"Moulali, Kolkata","Mishti, Fast Food, South Indian",100,50,4.0,381,89,65
ID6905,Majestic,"South Indian, North Indian, Chinese, Beverages",350,50,4.2,441,170,30
ID3087,"Chandni Chowk, Kolkata","Fast Food, Bengali",100,50,,,,30
ID207,"Delhi Administration Flats, Timarpur","Mithai, Street Food",100,50,3.7,62,10,30
ID5095,"Rmz Centennial, I Gate, Whitefield","Beverages, Desserts",100,50,3.6,7,4,30
ID8233,Delhi UniversityGTB Nagar,Fast Food,100,50,3.6,90,31,30
ID6205,"Sector 14, Noida",Rolls,100,50,NEW,,,30
ID7753,"Sandhurst Road, Mumbai CST Area","European, Continental, North Indian, Desserts",750,50,4.3,3124,1660,45
ID888,"DBlock, Sector 63, Noida","Biryani, Mughlai, North Indian",100,50,3.5,69,37,30
ID164,"DBlock, Sector 63, Noida","North Indian, Mughlai",150,50,3.3,,,30
ID2653,"Sector 14, Noida","North Indian, Chinese",200,50,3.9,385,71,30
ID2818,"MG Road, Pune","North Indian, Chinese",150,99,2.8,96,41,45
ID7520,"Sector 1, Noida","North Indian, Chinese",200,50,NEW,,,45
ID4849,"MG Road, Pune","Chinese, Pizza, Fast Food",150,50,3.7,55,20,30
ID4179,"DBlock, Sector 63, Noida",North Indian,200,50,3.3,9,5,30
ID5321,"Rmz Centennial, I Gate, Whitefield","Biryani, Hyderabadi, North Indian, Mughlai",100,50,2.6,,,30
ID2376,"Chatta Bazaar, Malakpet, Hyderabad",South Indian,50,50,3.5,12,2,30
ID3147,"Sandhurst Road, Mumbai CST Area","Momos, Fast Food",150,50,3.5,85,40,30
ID6452,"Sector 63A,Gurgaon","Mithai, North Indian, South Indian, Chinese, Street Food",150,50,NEW,,,30
ID5076,"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, North Indian",100,50,3.7,27,5,30
ID7738,"Rmz Centennial, I Gate, Whitefield","Continental, Beverages, Desserts",200,50,NEW,,,30
ID4942,Mumbai Central,"Fast Food, Ice Cream, Beverages",200,50,3.8,107,47,30
ID3468,"DBlock, Sector 63, Noida",Fast Food,100,50,3.3,13,4,30
ID3797,"Delhi High Court, India Gate",Fast Food,200,50,3.3,25,16,30
ID6224,"DBlock, Sector 63, Noida",Chinese,100,50,3.5,24,1,30
ID1124,Delhi UniversityGTB Nagar,"Burger, Fast Food",100,50,,,,30
ID6637,Delhi Cantt.,Mughlai,150,50,2.8,7,3,30
ID8434,"Sector 3, Marathalli",Chinese,300,99,2.9,393,191,65
ID2962,Pune University,"North Indian, Rolls, Chinese",200,50,3.9,348,105,30
ID6091,"Mico Layout, Stage 2, BTM Layout,Bangalore","Andhra, Biryani",200,50,3.4,15,7,30
ID2198,Majestic,Street Food,100,50,4.1,260,100,65
ID4654,"FTI College, Law College Road, Pune","Burger, Fast Food",200,50,3.9,326,106,30
ID3712,"Dockyard Road, Mumbai CST Area",Street Food,100,50,3.5,18,8,30
ID1858,"Tejas Nagar Colony, Wadala West, Mumbai","North Indian, South Indian, Assamese, Maharashtrian, Bengali",200,50,NEW,,,30
ID4395,"DBlock, Sector 63, Noida","North Indian, Lucknowi",200,50,2.8,150,89,45
ID3814,"Delhi Administration Flats, Timarpur","Fast Food, Beverages",150,50,3.7,35,21,30
ID7226,"Sector 14, Noida",North Indian,100,50,3.0,7,1,30
ID2915,"MG Road, Pune",North Indian,200,50,3.3,28,9,30
ID5719,"Mico Layout, Stage 2, BTM Layout,Bangalore",Pizza,200,50,3.5,87,37,45
ID1532,"Sector 14, Noida","Chinese, Fast Food",150,50,3.5,187,65,30
ID3539,"FTI College, Law College Road, Pune","Desserts, Ice Cream",100,50,2.6,28,13,30
ID2677,"MG Road, Pune","North Indian, Chinese, Street Food",150,50,2.8,,,30
ID1203,"FTI College, Law College Road, Pune",Fast Food,150,50,3.0,4,,30
ID4645,"Babarpur, New Delhi, Delhi","North Indian, Fast Food",300,50,3.5,15,7,30
ID1210,"Rmz Centennial, I Gate, Whitefield","Beverages, Cafe, Sandwich, Fast Food, Desserts",250,50,3.8,118,69,45
ID7260,"Sector 3, Marathalli","North Indian, Mughlai",150,50,NEW,,,30
ID1996,"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,150,50,,,,30
ID7796,"Rmz Centennial, I Gate, Whitefield","Street Food, Beverages",100,50,,,,30
ID1324,"DBlock, Sector 63, Noida",Bakery,200,50,3.1,12,2,30
ID1885,Delhi Cantt.,North Indian,300,50,4.2,,,45
ID2885,"Nathan Road, Mangaldas Road, Pune","German, Italian, Cafe",450,50,4.3,4691,2547,45
ID3351,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, South Indian, Chinese, Arabian",350,50,3.1,89,10,30
ID5223,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,100,50,3.9,70,9,30
ID2093,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai",150,50,3.1,9,2,30
ID5969,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Mithai,50,50,2.8,11,2,30
ID4654,"Mico Layout, Stage 2, BTM Layout,Bangalore","Burger, Fast Food",200,50,3.8,349,159,45
ID8146,"MG Road, Pune","Finger Food, North Indian",300,50,3.0,6,1,30
ID7674,"DBlock, Sector 63, Noida","North Indian, Chinese",250,99,4.5,143,110,65
ID7677,"DBlock, Sector 63, Noida",Bakery,150,50,3.2,7,3,30
ID4484,"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Beverages",100,50,,,,30
ID669,"Delhi High Court, India Gate","North Indian, South Indian, Fast Food, Beverages",150,50,3.6,81,42,30
ID4064,Mumbai Central,Street Food,50,50,3.7,63,36,45
ID1181,"Sector 1, Noida","Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",200,50,3.4,417,181,45
ID4609,Mumbai Central,"Street Food, Fast Food",150,50,3.4,20,16,30
ID5401,"DBlock, Sector 63, Noida",Chinese,150,50,4.2,124,109,30
ID1215,Pune University,"Fast Food, Street Food, Momos",100,50,3.3,12,1,30
ID1773,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Fast Food",200,50,2.9,47,10,45
ID1452,"Rmz Centennial, I Gate, Whitefield","Street Food, Fast Food",100,50,4.0,242,179,65
ID5440,"Yerawada, Pune, Maharashtra","Italian, Beverages",300,50,3.5,12,5,30
ID553,"Sector 1, Noida",Mughlai,150,50,3.4,9,2,30
ID622,"FTI College, Law College Road, Pune",Fast Food,100,50,,,,30
ID6537,"DBlock, Sector 63, Noida","Biryani, North Indian, Mughlai, Kebab, Rolls",250,99,4.7,706,490,30
ID6951,"Panjetan Colony, Malakpet, Hyderabad",South Indian,50,50,4.0,109,28,30
ID8413,Pune University,Desserts,150,50,4.4,584,343,45
ID5237,"Delhi Administration Flats, Timarpur","Fast Food, Rolls, Beverages",150,50,3.6,37,16,30
ID1005,Delhi UniversityGTB Nagar,"Street Food, Fast Food",150,50,4.3,253,118,30
ID5181,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",150,50,3.4,123,37,30
ID1766,"Yerawada, Pune, Maharashtra","Chettinad, North Indian, Seafood",200,50,4.1,1665,690,30
ID6145,Pune University,"Ice Cream, Fast Food",150,50,3.3,9,3,30
ID1972,"Delhi High Court, India Gate","Pizza, Burger, Fast Food, Desserts",200,50,3.9,191,72,45
ID8614,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Biryani, Mughlai",100,50,,,,30
ID308,"Rmz Centennial, I Gate, Whitefield","Chinese, South Indian, North Indian",250,50,3.0,4,2,30
ID4468,"Sector 1, Noida",South Indian,150,50,3.5,40,6,30
ID7468,"Yerawada, Pune, Maharashtra","North Indian, Street Food, Desserts",150,50,4.0,696,296,45
ID7299,Mumbai Central,"Bakery, Desserts",150,50,3.8,72,33,45
ID4827,"Sector 63A,Gurgaon","Chinese, Fast Food, North Indian, Momos",200,99,4.0,334,164,45
ID8391,"Sector 1, Noida","Cafe, Desserts",200,50,NEW,,,30
ID8049,"Sector 1, Noida","North Indian, Mughlai, Momos",250,50,3.8,173,29,45
ID1171,Mumbai Central,Juices,100,50,3.1,5,2,30
ID4137,"Moulali, Kolkata","Desserts, Beverages",200,50,4.1,62,50,30
ID8129,"Tiretti, Kolkata","Chinese, North Indian",100,50,3.8,85,27,30
ID7583,"Raja Bazar, Kolkata","Sandwich, Italian, Desserts",250,50,3.8,224,129,45
ID5352,"DBlock, Sector 63, Noida",Mughlai,200,50,,,,30
ID6908,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,100,50,,,,30
ID1316,"Delhi High Court, India Gate","Cafe, Italian",600,50,4.2,2653,1581,65
ID3332,"Yerawada, Pune, Maharashtra","North Indian, Chinese",150,50,,,,30
ID7412,Delhi Cantt.,"North Indian, Chinese, Rolls",150,50,4.8,326,234,30
ID8503,"Yerawada, Pune, Maharashtra","Bengali, Fast Food",300,50,3.5,90,45,45
ID8382,"FTI College, Law College Road, Pune","North Indian, Street Food",200,50,3.9,175,59,45
ID5921,"FTI College, Law College Road, Pune",North Indian,150,50,3.1,4,,30
ID463,"Rmz Centennial, I Gate, Whitefield","Ice Cream, Desserts",200,50,4.1,,,30
ID1460,"Babarpur, New Delhi, Delhi",Mithai,100,50,3.3,15,7,30
ID4202,"Dockyard Road, Mumbai CST Area","Parsi, Bakery",200,50,4.0,4335,2363,30
ID975,Mumbai Central,"Japanese, Sushi",400,50,3.6,163,72,45
ID8359,"Sector 1, Noida","North Indian, Chinese",550,50,3.4,53,24,30
ID6548,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Beverages, Desserts, Ice Cream",150,50,2.9,6,2,45
ID2002,Delhi Cantt.,Rolls,50,50,3.1,6,2,30
ID7261,Mumbai Central,"North Indian, South Indian, Chinese, Fast Food",350,50,3.0,19,5,45
ID7696,"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese",150,99,3.9,216,115,45
ID4095,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",200,50,3.7,45,12,45
ID5986,"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese",200,50,3.8,302,138,45
ID7172,"Tejas Nagar Colony, Wadala West, Mumbai",North Indian,150,50,2.8,16,8,45
ID2780,"Dockyard Road, Mumbai CST Area","Fast Food, Chinese",200,50,3.1,76,36,45
ID6441,Delhi UniversityGTB Nagar,Street Food,100,50,3.1,4,1,30
ID2164,Pune University,"Ice Cream, Fast Food, Beverages",150,50,NEW,,,30
ID2053,Pune University,South Indian,150,50,3.6,87,45,45
ID1172,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Cafe,200,50,3.3,9,1,30
ID3499,"Tiretti, Kolkata","Chinese, Fast Food",100,50,3.2,12,7,30
ID62,"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, Fast Food, North Indian, Mughlai",300,50,3.4,298,175,65
ID5414,"Rmz Centennial, I Gate, Whitefield",Desserts,150,50,3.6,18,3,45
ID7309,"Dockyard Road, Mumbai CST Area","Fast Food, Street Food, Beverages",150,50,3.7,77,39,45
ID1639,"Raja Bazar, Kolkata","Fast Food, American",150,50,3.5,101,53,45
ID3106,Mumbai Central,"Fast Food, Mughlai",100,50,3.9,116,66,45
ID2617,Pune University,"Fast Food, Biryani, Beverages",200,50,,,,30
ID2041,"Yerawada, Pune, Maharashtra","Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",650,50,4.4,3248,1603,45
ID2673,"Sector 1, Noida","Chinese, North Indian",200,50,3.6,125,29,30
ID7912,Delhi UniversityGTB Nagar,"Pizza, Beverages",350,50,3.3,11,6,30
ID3779,"Tiretti, Kolkata","Beverages, Juices, Fast Food",100,50,3.6,31,15,30
ID3683,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,150,50,3.0,4,1,30
ID4508,"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, North Indian",150,50,3.1,192,50,45
ID4878,"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Continental, Italian",400,50,4.2,2828,1443,45
ID2802,"DBlock, Sector 63, Noida","Bakery, Desserts",150,50,3.2,6,4,30
ID2814,"Delhi High Court, India Gate","Japanese, Sushi, Asian",800,50,4.2,721,390,45
ID188,"Panjetan Colony, Malakpet, Hyderabad","North Indian, Mughlai",150,50,3.3,4,2,30
ID4614,"DBlock, Sector 63, Noida","North Indian, Mughlai",200,50,3.7,66,42,30
ID7647,"DBlock, Sector 63, Noida","Chinese, Fast Food, Momos",150,50,,,,30
ID5499,"Sector 3, Marathalli","North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",150,50,3.5,45,29,45
ID7594,Mumbai Central,Burger,200,50,NEW,,,30
ID6436,"MG Road, Pune",South Indian,150,50,3.9,219,108,30
ID4298,Mumbai Central,"Salad, Beverages, Healthy Food, Desserts",200,50,3.5,36,24,65
ID7158,"Mico Layout, Stage 2, BTM Layout,Bangalore","Ice Cream, Cafe, Pizza, Burger, Beverages",200,50,4.5,2805,1457,45
ID7750,"Mico Layout, Stage 2, BTM Layout,Bangalore","Asian, Biryani, North Indian, Desserts",200,50,4.1,37,30,45
ID7397,"Sector 63A,Gurgaon","Continental, Burger, Wraps, Beverages",150,50,4.0,34,27,30
ID5574,Delhi UniversityGTB Nagar,"Fast Food, Chinese",150,50,NEW,,,30
ID4635,"FTI College, Law College Road, Pune",Street Food,100,50,NEW,,,30
ID6659,"Jaya Nagar, Saidabad, Hyderabad",Chinese,100,50,,,,30
ID621,"Sector 63A,Gurgaon","Mithai, Street Food, Chinese",150,50,3.3,35,16,65
ID7260,Majestic,"North Indian, Mughlai",150,50,NEW,,,30
ID5602,"Sector 1, Noida","North Indian, Chinese",250,50,2.8,27,11,30
ID7252,"Rmz Centennial, I Gate, Whitefield","Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",250,50,3.9,163,112,30
ID2879,"Sandhurst Road, Mumbai CST Area","South Indian, North Indian, Fast Food",200,50,3.7,182,107,45
ID2637,Majestic,"Chinese, North Indian, Street Food",150,50,NEW,,,30
ID6278,"Nathan Road, Mangaldas Road, Pune","Chinese, Cantonese","1,000",50,4.7,441,259,30
ID4625,"Delhi Administration Flats, Timarpur","North Eastern, Momos, Fast Food, Beverages, Tibetan",100,50,2.9,,,30
ID3176,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Chinese",150,50,3.5,26,6,30
ID6778,Pune University,Street Food,100,50,,,,30
ID6312,"MG Road, Pune","Maharashtrian, South Indian, Chinese",150,50,3.3,12,7,30
ID6002,"DBlock, Sector 63, Noida",Bakery,50,50,3.2,11,1,30
ID3655,"Dockyard Road, Mumbai CST Area",Mithai,100,99,3.9,60,15,45
ID3288,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, South Indian, Fast Food",100,50,,,,30
ID6406,"Raja Bazar, Kolkata","Biryani, Mughlai",100,50,3.6,353,53,30
ID1059,"Sector 3, Marathalli","Chinese, North Indian",100,50,,,,30
ID8302,"Babarpur, New Delhi, Delhi","North Indian, Rolls",100,50,3.6,27,12,30
ID6710,"Sector 1, Noida","Pizza, Fast Food",150,50,3.7,43,9,30
ID731,"Raja Bazar, Kolkata",Bengali,150,50,,,,30
ID2132,Mumbai Central,Fast Food,100,50,3.3,10,4,30
ID3491,"Sector 3, Marathalli","Chinese, Thai",200,50,3.5,13,9,30
ID6264,"DBlock, Sector 63, Noida","North Indian, Chinese, Mughlai",300,50,3.4,47,25,30
ID437,"Babarpur, New Delhi, Delhi","North Indian, Fast Food",100,50,3.3,10,,30
ID6300,"Sector 3, Marathalli","Mithai, Street Food",150,50,3.4,13,1,30
ID7465,"Mico Layout, Stage 2, BTM Layout,Bangalore","Tibetan, Chinese, Momos",250,50,4.2,633,269,45
ID1148,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Burger",150,50,3.5,23,6,30
ID8026,"Nathan Road, Mangaldas Road, Pune","Street Food, Fast Food, Beverages",150,50,3.4,13,10,45
ID462,Mumbai Central,Bakery,300,50,3.8,77,52,30
ID2237,"Sector 1, Noida","North Indian, Chinese",300,50,,,,30
ID7266,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Fast Food, Chinese",200,50,NEW,,,30
ID1209,"Moulali, Kolkata","Cafe, Desserts",300,50,3.6,54,34,30
ID3624,Delhi UniversityGTB Nagar,"Cafe, Fast Food",200,50,,,,30
ID376,"DBlock, Sector 63, Noida","Andhra, Hyderabadi, Biryani, South Indian, North Indian, Rolls, Mughlai",200,50,3.7,112,41,30
ID3209,"Sector 1, Noida","Fast Food, Healthy Food",100,50,NEW,,,10
ID6128,Majestic,"North Indian, Chinese",150,50,,,,30
ID2947,"Sector 1, Noida","North Indian, Chinese, Mughlai",250,50,3.6,76,38,30
ID911,"Sector 14, Noida",Biryani,100,50,NEW,,,30
ID3342,"DBlock, Sector 63, Noida","North Indian, Chinese",200,50,,,,65
ID1427,"MG Road, Pune","Italian, Fast Food",200,50,3.7,101,29,45
ID534,"Sector 63A,Gurgaon",North Indian,150,50,4.1,144,33,30
ID5511,"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,100,50,3.5,49,7,30
ID5405,"Sector 1, Noida","Desserts, Bakery",150,50,3.5,20,16,30
ID1004,Mumbai Central,"Fast Food, Sandwich",100,50,3.0,4,1,30
ID6107,"Dockyard Road, Mumbai CST Area","Italian, Lebanese, North Indian",150,50,3.2,15,7,30
ID7260,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai, Beverages",150,50,,,,30
ID4625,"Babarpur, New Delhi, Delhi","North Eastern, Momos, Fast Food, Beverages, Tibetan",100,50,2.9,,,30
ID4593,"Dockyard Road, Mumbai CST Area","Chinese, Mughlai, North Indian, Seafood, Biryani",200,50,3.8,426,196,45
ID4031,"FTI College, Law College Road, Pune",Ice Cream,100,50,4.0,61,40,30
ID6013,"Raja Bazar, Kolkata","Cafe, Spanish, Italian, Mexican, Salad, Juices",250,50,4.1,1307,794,45
ID2862,"MG Road, Pune",Salad,150,50,3.7,26,10,30
ID6448,"Nathan Road, Mangaldas Road, Pune","Chinese, North Indian, Mughlai",250,50,3.1,9,1,30
ID3752,"Sector 3, Marathalli","North Indian, South Indian",200,99,3.2,7,2,65
ID4189,"Chandni Chowk, Kolkata","South Indian, Fast Food",100,50,,,,30
ID826,"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, Sushi, Asian, Thai",650,50,4.4,925,589,30
ID7754,"Rmz Centennial, I Gate, Whitefield","South Indian, North Indian, Chinese",150,50,3.3,24,8,30
ID1429,"Babarpur, New Delhi, Delhi","North Indian, Rolls, Lebanese",250,50,3.4,40,7,45
ID342,"MG Road, Pune",South Indian,100,50,3.6,33,8,30
ID7497,"MG Road, Pune",Maharashtrian,100,0,3.3,12,1,30
ID7057,"Sandhurst Road, Mumbai CST Area","North Indian, Chinese",300,0,3.6,102,48,45
ID5097,"Dockyard Road, Mumbai CST Area","Chinese, North Indian",150,50,3.7,53,18,30
ID744,"Dockyard Road, Mumbai CST Area","North Indian, South Indian, Chinese",200,50,3.4,47,6,65
ID3755,"Delhi Administration Flats, Timarpur","Continental, Pizza, Italian",250,50,3.9,297,145,45
ID4202,"Sandhurst Road, Mumbai CST Area","Parsi, Bakery",200,50,4.0,4335,2363,30
ID7319,"Delhi High Court, India Gate","North Indian, Chinese, Fast Food",600,50,3.9,750,536,30
ID5592,Majestic,Beverages,100,50,3.6,11,4,45
ID6055,Mumbai Central,Fast Food,100,50,3.8,110,53,30
ID5299,"DBlock, Sector 63, Noida","Fast Food, Pizza, North Indian, Momos",200,50,4.1,479,247,45
ID4237,"Sector 1, Noida",North Indian,100,50,3.3,15,1,30
ID5908,"Sector 14, Noida",North Indian,200,50,2.4,19,11,30
ID7532,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Bakery, Desserts, Mithai",200,50,,,,30
ID1637,Majestic,Fast Food,150,50,3.8,112,37,45
ID3921,"DBlock, Sector 63, Noida","Mughlai, North Indian, Kebab, Rolls",350,50,3.6,67,11,30
ID8013,Majestic,"North Indian, Chinese",350,50,3.6,34,18,30
ID7271,"Panjetan Colony, Malakpet, Hyderabad",South Indian,50,50,3.1,98,10,30
ID7269,"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,100,50,4.2,236,72,45
ID8281,"Nathan Road, Mangaldas Road, Pune","Street Food, Fast Food, North Indian",150,50,2.9,8,5,45
ID5063,Delhi UniversityGTB Nagar,"Bakery, Desserts, Fast Food",200,50,3.5,32,10,30
ID7501,Delhi UniversityGTB Nagar,"North Indian, South Indian",200,50,2.9,4,3,30
ID1555,"Delhi Administration Flats, Timarpur","North Indian, Continental, Chinese, Juices",100,50,3.4,25,20,30
ID2301,Mumbai Central,"Pizza, Fast Food",200,0,3.6,277,89,30
