jobs,gender,salary,age,number of workers,working hours
all,all,1800,60 ~,"64,532",160.9
all,all,1900,all,"441,424",159.2
all,all,1900,~ 19,"3,836",159.2
all,all,1900,20 ~ 24,"49,782",157.6
all,all,1900,25 ~ 29,"63,519",156
all,all,1900,30 ~ 34,"38,872",156.9
all,all,1900,35 ~ 39,"33,246",157.2
all,all,1900,40 ~ 44,"41,320",157.9
all,all,1900,45 ~ 49,"50,739",159.5
all,all,1900,50 ~ 54,"48,947",158.8
all,all,1900,55 ~ 59,"43,664",160.9
all,all,1900,60 ~,"67,499",165.6
all,all,2000,all,"390,737",162.8
all,all,2000,~ 19,"2,691",166.3
all,all,2000,20 ~ 24,"41,738",161.4
all,all,2000,25 ~ 29,"63,648",158.9
all,all,2000,30 ~ 34,"34,550",158.1
all,all,2000,35 ~ 39,"32,500",157.2
all,all,2000,40 ~ 44,"33,247",159.7
all,all,2000,45 ~ 49,"42,422",159.1
all,all,2000,50 ~ 54,"42,957",161.1
all,all,2000,55 ~ 59,"37,305",164.2
all,all,2000,60 ~,"59,678",178.6
all,all,2200,all,"836,098",164.9
all,all,2200,~ 19,"5,210",170.2
all,all,2200,20 ~ 24,"74,064",163.5
all,all,2200,25 ~ 29,"157,880",161.5
all,all,2200,30 ~ 34,"88,583",160.9
all,all,2200,35 ~ 39,"73,664",162.1
all,all,2200,40 ~ 44,"71,518",162.2
all,all,2200,45 ~ 49,"87,956",162.9
all,all,2200,50 ~ 54,"91,762",165.4
all,all,2200,55 ~ 59,"80,112",168.3
all,all,2200,60 ~,"105,349",176.3
all,all,2400,all,"692,441",169.4
all,all,2400,~ 19,"3,163",178.2
all,all,2400,20 ~ 24,"51,817",169.4
all,all,2400,25 ~ 29,"144,057",164
all,all,2400,30 ~ 34,"95,421",164
all,all,2400,35 ~ 39,"69,604",166.2
all,all,2400,40 ~ 44,"58,419",167.6
all,all,2400,45 ~ 49,"68,824",170.7
all,all,2400,50 ~ 54,"66,691",172.4
all,all,2400,55 ~ 59,"64,240",175.8
all,all,2400,60 ~,"70,205",182
all,all,2600,all,"646,415",172
all,all,2600,~ 19,"2,619",166.5
all,all,2600,20 ~ 24,"36,471",178.2
all,all,2600,25 ~ 29,"139,823",167.5
all,all,2600,30 ~ 34,"101,802",166.9
all,all,2600,35 ~ 39,"75,372",168.7
all,all,2600,40 ~ 44,"56,936",172.8
all,all,2600,45 ~ 49,"64,071",173.5
all,all,2600,50 ~ 54,"59,834",177.7
all,all,2600,55 ~ 59,"54,292",178.3
all,all,2600,60 ~,"55,194",179.4
all,all,2800,all,"550,376",174
all,all,2800,~ 19,"1,403",182.3
all,all,2800,20 ~ 24,"27,318",179.9
all,all,2800,25 ~ 29,"109,675",170
all,all,2800,30 ~ 34,"96,721",168
all,all,2800,35 ~ 39,"76,104",170.7
all,all,2800,40 ~ 44,"53,593",172.6
all,all,2800,45 ~ 49,"54,752",176.8
all,all,2800,50 ~ 54,"49,021",179.3
all,all,2800,55 ~ 59,"43,321",184.7
all,all,2800,60 ~,"38,467",181.2
all,all,3000,all,"496,104",174.6
all,all,3000,~ 19,"1,133",202.7
all,all,3000,20 ~ 24,"17,718",179.4
all,all,3000,25 ~ 29,"87,833",170.1
all,all,3000,30 ~ 34,"92,338",169.8
all,all,3000,35 ~ 39,"75,108",171.2
all,all,3000,40 ~ 44,"54,290",172
all,all,3000,45 ~ 49,"51,987",179.4
all,all,3000,50 ~ 54,"45,574",181.6
all,all,3000,55 ~ 59,"38,772",182.8
all,all,3000,60 ~,"31,351",181.2
all,all,3500,all,"1,130,637",174.4
all,all,3500,~ 19,"1,400",194.5
all,all,3500,20 ~ 24,"32,853",183.8
all,all,3500,25 ~ 29,"162,744",172.4
all,all,3500,30 ~ 34,"212,824",169.5
all,all,3500,35 ~ 39,"210,134",171.1
all,all,3500,40 ~ 44,"137,813",173.4
all,all,3500,45 ~ 49,"121,841",177.7
all,all,3500,50 ~ 54,"98,062",180.2
all,all,3500,55 ~ 59,"85,968",181.7
all,all,3500,60 ~,"66,996",178.5
all,all,4000,all,"854,272",173.6
all,all,4000,~ 19,429,167.9
all,all,4000,20 ~ 24,"15,971",182.3
all,all,4000,25 ~ 29,"101,110",172.5
all,all,4000,30 ~ 34,"152,587",168.9
all,all,4000,35 ~ 39,"182,139",170.1
all,all,4000,40 ~ 44,"123,387",173.5
all,all,4000,45 ~ 49,"99,119",176.9
all,all,4000,50 ~ 54,"82,524",180
all,all,4000,55 ~ 59,"61,652",180.5
all,all,4000,60 ~,"35,355",175.8
all,all,4500,all,"676,568",172.3
all,all,4500,~ 19,183,169.8
all,all,4500,20 ~ 24,"8,206",176.1
all,all,4500,25 ~ 29,"62,052",171.3
all,all,4500,30 ~ 34,"108,645",168.6
all,all,4500,35 ~ 39,"146,788",169
all,all,4500,40 ~ 44,"114,997",170.3
all,all,4500,45 ~ 49,"90,430",176.3
all,all,4500,50 ~ 54,"65,500",178.6
all,all,4500,55 ~ 59,"52,600",179.5
all,all,4500,60 ~,"27,167",173.2
all,all,5000,all,"512,624",170.6
all,all,5000,~ 19,199,180.8
all,all,5000,20 ~ 24,"4,652",172.4
all,all,5000,25 ~ 29,"41,443",169.7
all,all,5000,30 ~ 34,"73,528",166.8
all,all,5000,35 ~ 39,"113,321",167.4
all,all,5000,40 ~ 44,"99,526",170.1
all,all,5000,45 ~ 49,"78,381",171.9
all,all,5000,50 ~ 54,"48,879",177.3
all,all,5000,55 ~ 59,"36,506",178.3
all,all,5000,60 ~,"16,189",171.6
all,all,6000,all,"780,066",167.3
all,all,6000,~ 19,199,189.4
all,all,6000,20 ~ 24,"4,317",176
all,all,6000,25 ~ 29,"40,755",170.6
all,all,6000,30 ~ 34,"96,839",166.3
all,all,6000,35 ~ 39,"150,613",166.2
all,all,6000,40 ~ 44,"157,361",165.8
all,all,6000,45 ~ 49,"147,058",167.4
all,all,6000,50 ~ 54,"90,911",169.5
all,all,6000,55 ~ 59,"64,407",169.5
all,all,6000,60 ~,"27,605",164.8
all,all,10000,all,"1,480,645",164.6
all,all,10000,~ 19,88,202.3
all,all,10000,20 ~ 24,"1,925",181.2
all,all,10000,25 ~ 29,"29,517",173.5
all,all,10000,30 ~ 34,"89,569",168.1
all,all,10000,35 ~ 39,"202,392",165.8
all,all,10000,40 ~ 44,"259,272",164.5
all,all,10000,45 ~ 49,"330,445",164.1
all,all,10000,50 ~ 54,"298,943",164.4
all,all,10000,55 ~ 59,"197,357",163.5
all,all,10000,60 ~,"71,137",159.7
all,man,all,all,"6,681,040",168.3
all,man,all,~ 19,"21,129",150.9
all,man,all,20 ~ 24,"184,253",167.7
all,man,all,25 ~ 29,"690,053",169.1
all,man,all,30 ~ 34,"845,692",168.8
all,man,all,35 ~ 39,"1,038,234",169.4
all,man,all,40 ~ 44,"903,898",169.3
all,man,all,45 ~ 49,"917,812",169
all,man,all,50 ~ 54,"772,491",168.5
all,man,all,55 ~ 59,"656,286",167.5
all,man,all,60 ~,"651,192",163.5
all,man,800,all,"69,128",62.5
all,man,800,~ 19,"2,421",46.9
all,man,800,20 ~ 24,"7,006",58.7
all,man,800,25 ~ 29,"4,851",54.5
all,man,800,30 ~ 34,"4,020",62.2
all,man,800,35 ~ 39,"3,394",53.2
all,man,800,40 ~ 44,"4,033",52.9
all,man,800,45 ~ 49,"6,047",64.7
all,man,800,50 ~ 54,"8,100",62.8
all,man,800,55 ~ 59,"9,938",73.4
all,man,800,60 ~,"19,318",65.1
all,man,900,all,"18,421",76
all,man,900,~ 19,387,92.7
all,man,900,20 ~ 24,"1,714",84.5
all,man,900,25 ~ 29,"1,210",73.7
all,man,900,30 ~ 34,"1,486",53.9
all,man,900,35 ~ 39,880,69.9
all,man,900,40 ~ 44,911,64.7
all,man,900,45 ~ 49,"1,376",66.1
all,man,900,50 ~ 54,"1,956",79.3
all,man,900,55 ~ 59,"2,771",76.2
all,man,900,60 ~,"5,731",82.4
all,man,1000,all,"16,892",89.9
all,man,1000,~ 19,637,105.9
all,man,1000,20 ~ 24,"1,127",89.4
all,man,1000,25 ~ 29,"1,399",89.5
all,man,1000,30 ~ 34,866,90.5
all,man,1000,35 ~ 39,846,82.8
all,man,1000,40 ~ 44,838,93.3
all,man,1000,45 ~ 49,"1,214",88
all,man,1000,50 ~ 54,"1,718",91
all,man,1000,55 ~ 59,"2,466",91.1
all,man,1000,60 ~,"5,783",88.4
all,man,1100,all,"26,551",98.3
all,man,1100,~ 19,169,101.3
all,man,1100,20 ~ 24,"1,068",100.3
all,man,1100,25 ~ 29,"1,198",96.8
all,man,1100,30 ~ 34,"1,309",101.8
all,man,1100,35 ~ 39,"1,538",101.5
all,man,1100,40 ~ 44,"1,338",110.6
all,man,1100,45 ~ 49,"3,372",93.8
all,man,1100,50 ~ 54,"3,620",93.5
all,man,1100,55 ~ 59,"3,516",97.4
all,man,1100,60 ~,"9,424",99.2
all,man,1200,all,"24,073",108.4
all,man,1200,~ 19,509,118.6
all,man,1200,20 ~ 24,"1,028",103.5
all,man,1200,25 ~ 29,"1,027",101.2
all,man,1200,30 ~ 34,601,101.8
all,man,1200,35 ~ 39,874,102.8
all,man,1200,40 ~ 44,"1,025",103.9
all,man,1200,45 ~ 49,"2,129",103.1
all,man,1200,50 ~ 54,"2,973",115.6
all,man,1200,55 ~ 59,"4,210",107.8
all,man,1200,60 ~,"9,698",109.7
all,man,1300,all,"30,234",118.1
all,man,1300,~ 19,185,124
all,man,1300,20 ~ 24,"2,117",127.4
all,man,1300,25 ~ 29,"1,871",117.7
all,man,1300,30 ~ 34,"1,768",128.3
all,man,1300,35 ~ 39,916,123.3
all,man,1300,40 ~ 44,"1,629",122.8
all,man,1300,45 ~ 49,"2,646",110.7
all,man,1300,50 ~ 54,"3,770",112.2
all,man,1300,55 ~ 59,"4,842",113.6
all,man,1300,60 ~,"10,488",119.3
all,man,1400,all,"34,534",122.1
all,man,1400,~ 19,281,131.2
all,man,1400,20 ~ 24,"2,008",126.8
all,man,1400,25 ~ 29,"2,874",110.6
all,man,1400,30 ~ 34,"2,787",127.9
all,man,1400,35 ~ 39,"1,472",108
all,man,1400,40 ~ 44,"1,767",133.6
all,man,1400,45 ~ 49,"2,544",118
all,man,1400,50 ~ 54,"3,179",120.9
all,man,1400,55 ~ 59,"5,577",121.5
all,man,1400,60 ~,"12,045",124
all,man,1500,all,"23,983",132
all,man,1500,~ 19,198,137.8
all,man,1500,20 ~ 24,"1,262",140
all,man,1500,25 ~ 29,"1,955",131.7
all,man,1500,30 ~ 34,"1,815",141.8
all,man,1500,35 ~ 39,"1,474",133.9
all,man,1500,40 ~ 44,"1,961",141.2
all,man,1500,45 ~ 49,"1,865",131.8
all,man,1500,50 ~ 54,"1,545",122.1
all,man,1500,55 ~ 59,"2,906",130.5
all,man,1500,60 ~,"9,002",128.6
all,man,1600,all,"45,142",142.3
all,man,1600,~ 19,216,142.3
all,man,1600,20 ~ 24,"3,048",143.9
all,man,1600,25 ~ 29,"5,312",142.3
all,man,1600,30 ~ 34,"1,742",145.8
all,man,1600,35 ~ 39,"2,114",149.7
all,man,1600,40 ~ 44,"2,901",143.4
all,man,1600,45 ~ 49,"4,170",143.5
all,man,1600,50 ~ 54,"4,584",137.9
all,man,1600,55 ~ 59,"5,957",141.3
all,man,1600,60 ~,"15,097",141.8
all,man,1700,all,"47,498",147.9
all,man,1700,~ 19,309,158.1
all,man,1700,20 ~ 24,"3,059",151.2
all,man,1700,25 ~ 29,"5,524",153.4
all,man,1700,30 ~ 34,"3,089",150.8
all,man,1700,35 ~ 39,"4,559",149.6
all,man,1700,40 ~ 44,"2,940",148.5
all,man,1700,45 ~ 49,"4,413",143.3
all,man,1700,50 ~ 54,"4,329",141.1
all,man,1700,55 ~ 59,"5,273",138.9
all,man,1700,60 ~,"14,004",150.3
all,man,1800,all,"139,187",158
all,man,1800,~ 19,"3,591",155.9
all,man,1800,20 ~ 24,"14,292",155.8
all,man,1800,25 ~ 29,"18,606",155.5
all,man,1800,30 ~ 34,"13,152",156.4
all,man,1800,35 ~ 39,"10,428",157.4
all,man,1800,40 ~ 44,"10,619",154.3
all,man,1800,45 ~ 49,"10,530",159.4
all,man,1800,50 ~ 54,"10,823",156.9
all,man,1800,55 ~ 59,"12,704",154.9
all,man,1800,60 ~,"34,443",163.4
all,man,1900,all,"155,161",161
all,man,1900,~ 19,"1,644",159.1
all,man,1900,20 ~ 24,"14,053",159.3
all,man,1900,25 ~ 29,"24,633",156.6
all,man,1900,30 ~ 34,"15,842",157.1
all,man,1900,35 ~ 39,"11,230",159.1
all,man,1900,40 ~ 44,"12,001",161.6
all,man,1900,45 ~ 49,"12,621",162.6
all,man,1900,50 ~ 54,"11,111",158.5
all,man,1900,55 ~ 59,"12,203",158.6
all,man,1900,60 ~,"39,822",167.2
all,man,2000,all,"142,716",167.7
all,man,2000,~ 19,"1,468",163.5
all,man,2000,20 ~ 24,"13,972",163.9
all,man,2000,25 ~ 29,"26,706",161.7
all,man,2000,30 ~ 34,"14,586",159.9
all,man,2000,35 ~ 39,"11,303",158.7
all,man,2000,40 ~ 44,"9,341",160.8
all,man,2000,45 ~ 49,"9,644",159.8
all,man,2000,50 ~ 54,"10,686",161.4
all,man,2000,55 ~ 59,"9,558",166.2
all,man,2000,60 ~,"35,451",186.3
all,man,2200,all,"365,251",167.1
all,man,2200,~ 19,"2,469",177.1
all,man,2200,20 ~ 24,"26,669",167
all,man,2200,25 ~ 29,"73,735",163.6
all,man,2200,30 ~ 34,"44,906",163.3
all,man,2200,35 ~ 39,"32,783",164
all,man,2200,40 ~ 44,"25,795",166
all,man,2200,45 ~ 49,"28,733",162.8
all,man,2200,50 ~ 54,"25,557",163.5
all,man,2200,55 ~ 59,"32,953",165.8
all,man,2200,60 ~,"71,652",178
all,man,2400,all,"335,434",171.3
all,man,2400,~ 19,"1,752",181.9
all,man,2400,20 ~ 24,"21,451",175.2
all,man,2400,25 ~ 29,"72,776",167.2
all,man,2400,30 ~ 34,"51,335",168
all,man,2400,35 ~ 39,"39,043",169.7
all,man,2400,40 ~ 44,"26,410",169.3
all,man,2400,45 ~ 49,"24,465",171
all,man,2400,50 ~ 54,"21,933",169.5
all,man,2400,55 ~ 59,"29,449",173.6
all,man,2400,60 ~,"46,820",180.9
all,man,2600,all,"357,983",173.8
all,man,2600,~ 19,"1,947",166.1
all,man,2600,20 ~ 24,"17,250",187.4
all,man,2600,25 ~ 29,"76,604",171.2
all,man,2600,30 ~ 34,"61,815",170.3
all,man,2600,35 ~ 39,"43,415",172.5
all,man,2600,40 ~ 44,"29,700",176.8
all,man,2600,45 ~ 49,"30,162",174.1
all,man,2600,50 ~ 54,"27,200",174.4
all,man,2600,55 ~ 59,"29,186",174.2
all,man,2600,60 ~,"40,702",177
all,man,2800,all,"327,382",176.4
all,man,2800,~ 19,890,186
all,man,2800,20 ~ 24,"13,970",189.3
all,man,2800,25 ~ 29,"61,803",174.8
all,man,2800,30 ~ 34,"60,312",171.2
all,man,2800,35 ~ 39,"49,355",174.7
all,man,2800,40 ~ 44,"31,314",177.2
all,man,2800,45 ~ 49,"28,469",178.1
all,man,2800,50 ~ 54,"25,002",177
all,man,2800,55 ~ 59,"25,909",181.4
all,man,2800,60 ~,"30,358",179.6
all,man,3000,all,"321,208",177.6
all,man,3000,~ 19,801,209.3
all,man,3000,20 ~ 24,"8,936",191.5
all,man,3000,25 ~ 29,"52,172",174.9
all,man,3000,30 ~ 34,"60,667",174
all,man,3000,35 ~ 39,"51,670",174.9
all,man,3000,40 ~ 44,"35,531",175.5
all,man,3000,45 ~ 49,"32,773",182.3
all,man,3000,50 ~ 54,"27,596",181.6
all,man,3000,55 ~ 59,"25,527",182.8
all,man,3000,60 ~,"25,536",179.3
all,man,3500,all,"784,920",177.1
all,man,3500,~ 19,834,207.1
all,man,3500,20 ~ 24,"15,328",197.8
all,man,3500,25 ~ 29,"94,541",178.3
all,man,3500,30 ~ 34,"145,074",172.9
all,man,3500,35 ~ 39,"154,892",173.9
all,man,3500,40 ~ 44,"99,563",176.3
all,man,3500,45 ~ 49,"83,924",179.3
all,man,3500,50 ~ 54,"66,535",181
all,man,3500,55 ~ 59,"65,285",180.2
all,man,3500,60 ~,"58,944",178.4
all,man,4000,all,"629,524",176.3
all,man,4000,~ 19,133,182
all,man,4000,20 ~ 24,"7,272",195.8
all,man,4000,25 ~ 29,"59,155",178.3
all,man,4000,30 ~ 34,"104,017",172.4
all,man,4000,35 ~ 39,"140,047",172.7
all,man,4000,40 ~ 44,"95,028",176.2
all,man,4000,45 ~ 49,"75,833",178.4
all,man,4000,50 ~ 54,"65,489",180.3
all,man,4000,55 ~ 59,"51,657",181.4
all,man,4000,60 ~,"30,892",175.9
all,man,4500,all,"520,964",174.8
all,man,4500,~ 19,69,178.4
all,man,4500,20 ~ 24,"3,313",185.6
all,man,4500,25 ~ 29,"36,253",175
all,man,4500,30 ~ 34,"76,072",171.7
all,man,4500,35 ~ 39,"114,347",171.5
all,man,4500,40 ~ 44,"90,943",172.5
all,man,4500,45 ~ 49,"75,330",177.8
all,man,4500,50 ~ 54,"55,081",180.3
all,man,4500,55 ~ 59,"45,189",180.4
all,man,4500,60 ~,"24,367",174.3
all,man,5000,all,"399,554",173
all,man,5000,~ 19,66,190.2
all,man,5000,20 ~ 24,"1,842",178.5
all,man,5000,25 ~ 29,"25,319",173.3
all,man,5000,30 ~ 34,"50,060",169.6
all,man,5000,35 ~ 39,"88,607",169.6
all,man,5000,40 ~ 44,"79,930",172.2
all,man,5000,45 ~ 49,"65,593",173.8
all,man,5000,50 ~ 54,"41,379",179.4
all,man,5000,55 ~ 59,"32,083",179.6
all,man,5000,60 ~,"14,676",172.2
all,man,6000,all,"615,315",168.9
all,man,6000,~ 19,98,197.3
all,man,6000,20 ~ 24,"1,643",186.8
all,man,6000,25 ~ 29,"23,333",174.7
all,man,6000,30 ~ 34,"66,223",168.4
all,man,6000,35 ~ 39,"115,432",168.1
all,man,6000,40 ~ 44,"125,800",167.4
all,man,6000,45 ~ 49,"123,973",168.9
all,man,6000,50 ~ 54,"78,067",170.8
all,man,6000,55 ~ 59,"57,275",170.2
all,man,6000,60 ~,"23,471",165.7
all,man,10000,all,"1,249,984",165.4
all,man,10000,~ 19,55,215.7
all,man,10000,20 ~ 24,825,198.2
all,man,10000,25 ~ 29,"17,197",176
all,man,10000,30 ~ 34,"62,149",170.3
all,man,10000,35 ~ 39,"157,616",167.3
all,man,10000,40 ~ 44,"212,579",165.6
all,man,10000,45 ~ 49,"285,986",164.9
all,man,10000,50 ~ 54,"270,257",165.1
all,man,10000,55 ~ 59,"179,851",164
all,man,10000,60 ~,"63,469",159.5
all,woman,all,all,"4,165,419",156.1
all,woman,all,~ 19,"17,949",144.5
all,woman,all,20 ~ 24,"287,006",156.5
all,woman,all,25 ~ 29,"626,358",159.1
all,woman,all,30 ~ 34,"518,567",157.6
all,woman,all,35 ~ 39,"505,339",155.4
all,woman,all,40 ~ 44,"480,790",155.4
all,woman,all,45 ~ 49,"535,185",157.5
all,woman,all,50 ~ 54,"484,631",159.1
all,woman,all,55 ~ 59,"376,008",157.6
all,woman,all,60 ~,"333,586",142.8
all,woman,800,all,"110,353",50.3
all,woman,800,~ 19,"1,991",43.4
all,woman,800,20 ~ 24,"9,075",56.8
all,woman,800,25 ~ 29,"5,241",48.9
all,woman,800,30 ~ 34,"3,303",46.1
all,woman,800,35 ~ 39,"5,974",43.6
all,woman,800,40 ~ 44,"8,271",45.5
all,woman,800,45 ~ 49,"10,723",51.4
all,woman,800,50 ~ 54,"12,560",53.2
all,woman,800,55 ~ 59,"16,790",51.1
all,woman,800,60 ~,"36,426",50
all,woman,900,all,"31,658",75.2
all,woman,900,~ 19,444,82.8
all,woman,900,20 ~ 24,"2,823",79.9
all,woman,900,25 ~ 29,"1,398",70.7
all,woman,900,30 ~ 34,"1,496",66.6
all,woman,900,35 ~ 39,"2,964",67.4
all,woman,900,40 ~ 44,"3,625",74.9
all,woman,900,45 ~ 49,"4,098",71.3
all,woman,900,50 ~ 54,"4,053",74.8
all,woman,900,55 ~ 59,"4,984",81.5
all,woman,900,60 ~,"5,774",77.6
all,woman,1000,all,"48,995",81.5
all,woman,1000,~ 19,481,96.8
all,woman,1000,20 ~ 24,"1,793",87.6
all,woman,1000,25 ~ 29,"2,535",82
all,woman,1000,30 ~ 34,"4,418",76.5
all,woman,1000,35 ~ 39,"7,682",77.6
all,woman,1000,40 ~ 44,"7,712",80.4
all,woman,1000,45 ~ 49,"6,068",79.2
all,woman,1000,50 ~ 54,"5,786",81.7
all,woman,1000,55 ~ 59,"5,619",87.7
all,woman,1000,60 ~,"6,901",84.5
all,woman,1100,all,"38,510",93.4
all,woman,1100,~ 19,241,93.2
all,woman,1100,20 ~ 24,"1,403",104.2
all,woman,1100,25 ~ 29,"1,258",86.5
all,woman,1100,30 ~ 34,"1,729",83
all,woman,1100,35 ~ 39,"2,374",91.4
all,woman,1100,40 ~ 44,"2,929",92.4
all,woman,1100,45 ~ 49,"5,673",91
all,woman,1100,50 ~ 54,"6,638",93.7
all,woman,1100,55 ~ 59,"7,021",95.3
all,woman,1100,60 ~,"9,245",95.3
all,woman,1200,all,"37,761",105.4
all,woman,1200,~ 19,235,126.3
all,woman,1200,20 ~ 24,"1,829",103.1
all,woman,1200,25 ~ 29,"1,151",106
all,woman,1200,30 ~ 34,"1,520",98.5
all,woman,1200,35 ~ 39,"2,698",102.5
all,woman,1200,40 ~ 44,"2,643",101.9
all,woman,1200,45 ~ 49,"4,393",101.5
all,woman,1200,50 ~ 54,"5,162",106.1
all,woman,1200,55 ~ 59,"5,237",105.2
all,woman,1200,60 ~,"12,894",108.6
all,woman,1300,all,"39,656",116.3
all,woman,1300,~ 19,336,122.1
all,woman,1300,20 ~ 24,"1,234",118.6
all,woman,1300,25 ~ 29,"2,185",107.5
